product,category,status_at_cutoff,conversation_memory,fact_memory,preference_memory,dynamic_preference_learning,domain_specific_preferences,preference_confidence,preference_provenance,cross_model_portability,local_first_storage,user_correction,preference_decay,preference_explanation,structured_preference_representation,notes,source_urls,evidence_cutoff
"Rethread","consumer cross-AI memory","public Chrome extension","Yes","Yes","Yes","Yes","Unclear","Yes","Yes","Yes","Yes","Yes","Unclear","Partial","Yes","Closest overlap: structured fact/preference/decision/context memories with confidence and source; bounded domain/task response policy and decay not found in reviewed docs","https://rethread.dev/ | https://rethread.dev/how-it-works | https://rethread.dev/cross-platform-ai-memory.html","2026-09-12"
"MemoryBase","consumer cross-AI memory","availability ambiguous: homepage says private beta; store listing live","Yes","Partial","Partial","Unclear","Unclear","Unclear","Yes","Yes","Unclear","Partial","Unclear","Partial","Partial","Source-linked vault/catalog and exports; public preference-learning mechanics not documented","https://memorybase.io/ | https://chromewebstore.google.com/detail/memorybase/bbdkfffldjdhpndnpcljnfccdhhacjma?hl=en","2026-09-12"
"Cabeza","consumer cross-AI memory","public Chrome extension","Yes","Partial","Partial","Partial","Unclear","Unclear","Partial","Yes","Partial","Yes","Unclear","Unclear","Partial","Google Drive/Dropbox is user-controlled cloud storage, not device-only local storage; evolving-profile claim lacks published mechanics","https://cabeza.cc/ | https://chromewebstore.google.com/detail/cabeza/bchhfiacdpajcnlicfadfcaeaabbaaca","2026-09-12"
"LocalBrain","self-hosted knowledge/RAG","public adjacent product","Partial","Partial","Unclear","Unclear","Unclear","Unclear","Partial","Partial","Yes","Partial","Unclear","Unclear","Partial","Requested name resolves to a self-hosted notes/knowledge-graph RAG product, not a documented universal preference layer","https://www.localbrain.in/","2026-09-12"
"Unifie","consumer cross-AI memory","public browser product","Yes","Yes","Yes","Partial","Partial","Unclear","Unclear","Yes","Yes","Yes","Unclear","Partial","Partial","Separate brains provide task isolation and Response Control exposes concise/detailed modes; calibrated inferred preference mechanics not found","https://unifie.site/ | https://unifie.site/integrations/claude","2026-09-12"
"MemoryPlugin","consumer/developer cross-AI memory","public service","Yes","Yes","Partial","Partial","Partial","Unclear","Unclear","Yes","No","Yes","Unclear","Partial","Partial","Broad platform support, editable memories and buckets; cloud service documents encryption but not local-first storage","https://www.memoryplugin.com/ | https://help.memoryplugin.com/integrations/browser-extension | https://github.com/memoryplugin/agent-skills","2026-09-12"
"Mem0 Platform / OSS","developer memory infrastructure","active managed and open-source project","Yes","Yes","Yes","Yes","Partial","Unclear","Partial","Yes","Partial","Yes","Partial","Partial","Partial","Model-flexible fact/preference extraction and CRUD; user-facing response-policy governance is application-dependent","https://docs.mem0.ai/introduction | https://github.com/mem0ai/mem0","2026-09-12"
"Mem0 OpenMemory Chrome extension (legacy)","consumer cross-AI memory","repository archived 2026-03-23","Yes","Yes","Partial","Partial","Unclear","Unclear","Unclear","Yes","No","Partial","Unclear","Unclear","Partial","Legacy extension sent conversations to Mem0 API; do not conflate with the newer OpenMemory coding-session project","https://github.com/mem0ai/mem0-chrome-extension | https://mem0.ai/blog/introducing-the-openmemory-chrome-extension","2026-09-12"
"OpenMemory (current Mem0 repository)","coding-session portability","active repository; different product from legacy extension","Yes","Partial","Unclear","Unclear","Partial","Unclear","Partial","Partial","Partial","Partial","Unclear","Unclear","Partial","CLI/TUI for portable coding-harness sessions, not a general browser preference product","https://github.com/mem0ai/openmemory","2026-09-12"
"ChatGPT Memory","native assistant memory","available with plan/region/surface variation","Yes","Yes","Yes","Yes","Partial","Unclear","Yes","No","No","Yes","Partial","Yes","Partial","Rolling memory plus sources/why-used and correction controls; provider-bound and no exposed numeric confidence or portable schema","https://help.openai.com/en/articles/8590148-memory-faq","2026-09-12"
"Claude Memory","native assistant memory","available with plan/surface variation","Yes","Yes","Yes","Yes","Partial","Unclear","Yes","Partial","No","Yes","Unclear","Yes","Partial","Exact view/edit/delete, citations and project-separated memory; import/export is manual and experimental rather than synchronized portability","https://support.claude.com/en/articles/11817273-use-claude-s-chat-search-and-memory-to-build-on-previous-context | https://support.claude.com/en/articles/12123587-import-and-export-your-memory-from-claude","2026-09-12"
"Gemini past-chat personalization","native assistant memory","available with account/age/activity/surface constraints","Yes","Yes","Partial","Yes","Unclear","Unclear","Partial","No","No","Partial","Unclear","Partial","Unclear","Past-chat use can be queried/corrected and disabled; inferred records are not exposed as an itemized portable profile in reviewed docs","https://support.google.com/gemini/answer/16598469?co=GENIE.Platform%3DDesktop&hl=en | https://blog.google/products-and-platforms/products/gemini/temporary-chats-privacy-controls/ | https://support.google.com/gemini/answer/13594961?hl=en","2026-09-12"
"Letta","developer stateful-agent infrastructure","active cloud and self-hostable open-source runtime","Yes","Yes","Yes","Yes","Partial","Unclear","Partial","Yes","Yes","Yes","Unclear","Partial","Partial","Persistent editable blocks can be shared and attached/detached across model-backed agents; blocks are general text, not a canonical calibrated preference policy","https://docs.letta.com/ | https://docs.letta.com/tutorials/attaching-detaching-blocks/","2026-09-12"
"Zep","developer/enterprise memory infrastructure","active managed platform with open-source Graphiti substrate","Yes","Yes","Partial","Yes","Partial","Unclear","Yes","Yes","Partial","Partial","Yes","Partial","Yes","Temporal graph invalidates outdated facts while preserving history and provenance; preference applicability and consumer governance are not the product focus","https://help.getzep.com/ | https://help.getzep.com/v2/understanding-the-graph | https://github.com/getzep/zep","2026-09-12"
"Supermemory","consumer/developer cross-AI memory","active API, MCP, plugins and browser extension","Yes","Yes","Partial","Partial","Partial","Unclear","Partial","Yes","Unclear","Yes","Unclear","Partial","Partial","Provides cross-agent memory workspaces and suggests relevant context in Claude and Gemini; preference-policy mechanics not found in reviewed material","https://supermemory.ai/ | https://supermemory.ai/changelog/page/2/","2026-09-12"
