paper,year,venue,publication_status,evidence_cutoff,problem,personalization_method,memory_type,dynamic_preferences,domain_conditioning,cross_model,evaluation,datasets,major_findings,limitations,relation_to_our_work,url_or_doi
"A Persona-Based Neural Conversation Model",2016,"ACL","peer reviewed","2026-09-12","speaker-consistent dialogue","speaker embeddings condition generation","model parameters / speaker representation","No","No","No","automatic and human response evaluation","Twitter conversation data","speaker identity improves persona consistency","model-internal static persona; not a response-preference policy","historical foundation; motivates separating persona from user-owned preferences","https://doi.org/10.18653/v1/P16-1094"
"Personalizing Dialogue Agents (PersonaChat)",2018,"ACL","peer reviewed","2026-09-12","explicit-persona dialogue","persona sentences condition dialogue","natural-language persona","No","No","Partial","automatic and human dialogue evaluation","PersonaChat","explicit persona conditioning improves engaging consistent dialogue","persona facts are declared and static; not lifelong preference inference","foundation for portable natural-language conditioning but insufficient governance","https://doi.org/10.18653/v1/P18-1205"
"LaMP: When Large Language Models Meet Personalization",2024,"ACL","peer reviewed","2026-09-12","personalized language tasks from sparse user history","retrieve user-profile items and prompt an LLM","retrieved documents/history","No","Partial","Yes","classification and generation metrics across seven tasks","LaMP benchmark","retrieved personal history consistently improves task performance over non-personalized baselines","mostly offline task histories; no governed online preference lifecycle","core retrieval baseline and proof that query-conditioned user evidence helps","https://doi.org/10.18653/v1/2024.acl-long.399"
"Democratizing LLMs via Personalized Parameter-Efficient Fine-tuning (OPPU)",2024,"EMNLP","peer reviewed","2026-09-12","efficient per-user model adaptation","one PEFT module per user","per-user adapter parameters","Partial","Partial","No","LaMP task metrics and efficiency","LaMP","per-user PEFT shifts model behavior efficiently","one adapter per user creates deployment cost; opaque and model-coupled","important accuracy baseline but contrary to provider-neutral transparent design","https://doi.org/10.18653/v1/2024.emnlp-main.372"
"PEARL",2024,"CustomNLP4U at EMNLP","peer reviewed workshop paper","2026-09-12","personalized writing from authored documents","generation-calibrated retrieval","retrieved authored passages","No","Partial","Yes","personalized writing generation metrics","user-authored document collections","training retrieval for generation utility improves writing personalization","does not represent an editable multidimensional response policy","strong retrieval baseline for writing domains","https://doi.org/10.18653/v1/2024.customnlp4u-1.16"
"User Embedding Model for Personalized Language Prompting",2024,"PERSONALIZE at EACL","peer reviewed workshop paper","2026-09-12","compact per-user conditioning","encode user interactions into a dense embedding used in prompting","dense user embedding","Partial","Partial","Partial","personalized prompting tasks","paper-specific personalization data","learned user embeddings provide compact conditioning","opaque representation and integration requirements","tests compactness/accuracy trade-off against inspectable profile","https://doi.org/10.18653/v1/2024.personalize-1.12"
"Personalized Text Generation with Fine-Grained Linguistic Control",2024,"PERSONALIZE at EACL","peer reviewed workshop paper","2026-09-12","controllable personalized writing style","explicit fine-grained linguistic attributes","structured style attributes","No","Partial","Partial","control accuracy and generation quality","paper-specific style datasets","fine-grained attributes enable targeted style control","declared controls rather than lifelong inference and correction","direct prior art for bounded response dimensions","https://doi.org/10.18653/v1/2024.personalize-1.8"
"LongLaMP",2024,"arXiv","preprint; peer review not established at cutoff","2026-09-12","long-form personalized generation","retrieve long user histories for prompting","retrieved history/profile","No","Partial","Yes","long-form generation benchmark metrics","LongLaMP","extends personalized evaluation beyond short outputs","preprint; not an online preference-governance system","candidate long-form external evaluation","https://arxiv.org/abs/2407.11016"
"LLMs + Persona-Plug = Personalized LLMs (PPlug)",2025,"ACL","peer reviewed","2026-09-12","use all user histories without per-user fine-tuning","encode histories into a plug-in user embedding","dense user embedding","Partial","Partial","No","personalized classification/generation tasks","personalization benchmarks including LaMP-style tasks","global user embeddings can effectively condition generation","architecture coupling and opaque profile","accuracy comparator; demonstrates portability/transparency cost of latent encodings","https://doi.org/10.18653/v1/2025.acl-long.461"
"Personalized Text Generation with Contrastive Activation Steering (StyleVector)",2025,"ACL","peer reviewed","2026-09-12","personalized generation style","derive and apply contrastive activation directions","model activation vector","No","Partial","No","style adherence and text quality","paper-specific personalized generation tasks","activation steering can control personalized style without full fine-tuning","requires internal model access and is not user-inspectable","model-coupled style baseline","https://doi.org/10.18653/v1/2025.acl-long.353"
